ID,HSC,ST-HSC,MPP,MPP2,MkP,Pro-B,Pre-B,B1 pro,B2 Pro,IgM CD19 B220,IgM CD19,IgM B220,B,My,CD4,CD8
HTJ-107,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HTJ-76,1.04,0.59,1.14,1.49,N/A,1.65,N/A,0,1.3,N/A,0,17.6,1.54,1.56,0.89,2.6
HTJ-78,0.28,0,0.15,0,N/A,0.01,N/A,0,0,N/A,0,0,N/A,N/A,N/A,N/A
HTJ-141,11.4,11.5,12.3,18.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HTJ-161,28.6,40.6,40.7,65.7,N/A,41.1,N/A,29.2,19.8,N/A,N/A,N/A,56.9,35.12,N/A,N/A
HTJ-162,68.8,47.3,50,40.01,N/A,69.6,N/A,55.7,53.1,N/A,N/A,N/A,59,59.1,N/A,N/A
HTJ-173,3.85,2.68,6.41,5.07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.22,8.22,N/A,N/A
HTJ-79,1.39,2.19,2.87,N/A,N/A,0.67,N/A,1.03,0.5,N/A,4.19,0.21,N/A,N/A,N/A,N/A
HTJ-209,0,0.22,0.67,0,0,0.28,0.79,0,0,1.25,0.43,0.13,N/A,N/A,N/A,N/A
HTJ-212,0.97,1.79,5.56,0,1.73,3.97,3.86,4.73,4.4,1.57,1.46,1.15,N/A,N/A,N/A,N/A
HTJ-291,32.5,45.6,44.9,42.3,36.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HTJ-292,14,9.38,20,34.3,12.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HTJ-293,45.6,43.6,51.2,58.5,40.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HTJ-302,15.08,19.34,27.09,38.01,10.87,26.7,23.3,25,18.9,17.8,15.4,11.7,N/A,N/A,N/A,N/A
HTJ-303,16.19,25.5,26.54,32.43,9.62,23.6,23.2,20.9,23.5,17.4,16.4,10.4,N/A,N/A,N/A,N/A
HTJ-304,16.44,14.78,23.89,38.17,13.58,23.8,25.4,22.9,19.9,19.6,19.2,11.9,N/A,N/A,N/A,N/A
HTJ-299,7.37,6.6,8.78,0,3.89,4.82,4.19,5.74,3.78,6.07,4.72,0.66,N/A,N/A,N/A,N/A
HTJ-298,13.3,19.7,31.1,24.6,16.7,16.4,13.7,25.8,18.9,13.9,13.3,24.4,N/A,N/A,N/A,N/A
HTJ-300,12.9,23.2,34.7,25,18.8,15.3,20.8,18.5,14.7,15.9,38.9,9.73,N/A,N/A,N/A,N/A
HTJ-301,28.3,37,48.5,57.8,31.6,31.9,33.8,28.1,31.7,28.6,28,17.3,N/A,N/A,N/A,N/A
HTJ-294,12.4,10.4,10.2,4.32,12.2,13,10.6,21.1,10.9,6.21,9.09,6.67,N/A,N/A,N/A,N/A
HTJ-295,15.1,16.8,16.1,14,22.8,10.2,14.4,7.41,13.1,16.3,29.2,0,N/A,N/A,N/A,N/A
HTJ-296,1.3,2.57,2.47,0.9,1.56,1.69,0.58,7.41,3.03,3.35,2.44,0,N/A,N/A,N/A,N/A
HTJ-297,10.4,30.7,19.9,9.09,26.4,22.1,15.1,18.2,26,16.5,11.9,0,N/A,N/A,N/A,N/A
HTJ-139,4.81,3.05,7.39,2.38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HTJ-140,20.5,24.6,25.3,22.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HTJ-87,46.4,39.6,52.2,54.5,N/A,42.4,N/A,0.91,30.1,N/A,40.4,22.6,N/A,N/A,N/A,N/A
HTJ-90,49.7,42.4,59.2,65.7,N/A,41.7,N/A,4.01,35.4,N/A,40.8,26.5,N/A,N/A,N/A,N/A
HTJ-110,11.1,7.82,8.13,7.1,N/A,4.65,N/A,0.92,2.21,N/A,12.2,8.57,13.3,16.8,14.4,15.9
HTJ-113,18.7,20.3,19,15.7,N/A,16.4,N/A,3.07,9.37,N/A,17.6,16.8,15.5,17.6,15.5,18
HTJ-89,20.4,22.4,23,16.1,19.5,23.8,23.6,21.5,20.1,23.5,23.2,25,N/A,N/A,N/A,N/A
HTJ-217,52.5,68.8,75.6,82.4,68.8,70.5,69.9,66.9,68.8,60.7,77.8,67.1,N/A,N/A,N/A,N/A
HTJ-214,30,35.5,51.3,51,23.5,37.6,35.1,30,35.5,29.1,25.7,21.2,N/A,N/A,N/A,N/A
HTJ-69,89.5,93.1,90.6,98.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HTJ-71,83.7,76.6,83.7,93.6,N/A,71.7,N/A,73,56.1,N/A,N/A,N/A,69.6,74.1,69.8,80
HTJ-72,88.4,84.5,88.4,98.1,N/A,75.5,N/A,76.6,58,N/A,N/A,N/A,73.8,77.2,72.5,74.1
HTJ-74,64.5,65.2,73.3,86.4,N/A,85.4,N/A,76.7,75.7,N/A,83,94.2,N/A,N/A,N/A,N/A
HTJ-70,60.1,61.5,85.8,96.7,N/A,44.9,N/A,32.1,40.4,N/A,10.1,35.9,N/A,N/A,N/A,N/A
HTJ-73,82.6,79,89.8,96,N/A,56.8,N/A,54.5,56.5,N/A,60.4,46.3,N/A,N/A,N/A,N/A
HTJ-352,43.8,50.9,53.9,49.4,58.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HTJ-353,50,48,56.1,48,59.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HTJ-354,26.1,26.7,32.4,37.7,32.2,24.1,22.4,21,19.9,19.2,20.1,12.3,N/A,N/A,N/A,N/A
HTJ-355,18.9,19.8,22.6,22,22,34.5,34,37.7,30.3,33.5,25.2,22.1,N/A,N/A,N/A,N/A
HTJ-356,51.8,59.2,57.7,56.9,55.3,53.8,51,56.6,54.6,44.5,25.3,28.8,N/A,N/A,N/A,N/A
HTJ-80,68.4,68.5,57.2,75.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HTJ-82,64.9,59.7,49.8,61.5,N/A,46.2,N/A,47.6,45.9,N/A,N/A,N/A,45.3,51.6,42.5,0
HTJ-95,8.33,3.7,7.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HTJ-123,70.9,61.8,70.4,67.6,N/A,N/A,N/A,75,63.2,N/A,N/A,N/A,59.5,N/A,N/A,N/A
