id,t_injection,t_analysis,hsc,pb,experimenter,mouse_id,dt_birth,dt_analysis,sex,dose_tam,group
HTJ-107,0,11,0,N/A,HTJ,107,10/1/18,10/12/18,N/A,0,0
HTJ-76,7.5,14,0,N/A,HTJ,76,7/23/18,8/6/18,M,20,7.5
HTJ-78,7.5,59,0,N/A,HTJ,78,7/23/18,9/20/18,F,20,7.5
HTJ-141,7.5,1,0,N/A,HTJ,141,10/23/18,10/24/18,N/A,20,7.5
HTJ-161,7.5,9,0,N/A,HTJ,161,11/19/18,11/28/18,N/A,20,7.5
HTJ-162,7.5,9,0,N/A,HTJ,162,11/19/18,11/28/18,N/A,20,7.5
HTJ-173,7.5,0,0,N/A,HTJ,173,11/29/18,11/29/18,N/A,20,7.5
HTJ-79,7.5,337,1.39,2.5,HTJ,79,7/23/18,6/25/19,F,20,7.5
HTJ-209,7.5,324,0,0,HTJ,209,12/19/18,11/8/19,F,15,7.5
HTJ-212,7.5,356,0,0,HTJ,212,12/19/18,12/10/19,M,15,7.5
HTJ-291,7.8,8,0,0,HTJ,291,12/30/19,1/7/20,M,12.5,7.5
HTJ-292,7.8,8,0,0,HTJ,292,12/30/19,1/7/20,M,12.5,7.5
HTJ-293,7.8,8,0,0,HTJ,293,12/30/19,1/7/20,M,12.5,7.5
HTJ-302,7.8,31,0,0,HTJ,302,12/30/19,1/30/20,M,12.5,7.5
HTJ-303,7.8,31,0,0,HTJ,303,12/30/19,1/30/20,F,12.5,7.5
HTJ-304,7.8,31,0,0,HTJ,304,12/30/19,1/30/20,F,12.5,7.5
HTJ-299,7.8,163,0,0,HTJ,299,12/30/19,6/10/20,M,12.5,7.5
HTJ-298,7.8,248,0,0,HTJ,298,12/30/19,9/3/20,F,12.5,7.5
HTJ-300,7.8,248,0,0,HTJ,300,12/30/19,9/3/20,M,12.5,7.5
HTJ-301,7.8,248,0,0,HTJ,301,12/30/19,9/3/20,M,12.5,7.5
HTJ-294,7.8,373,0,0,HTJ,294,12/30/19,1/6/21,F,12.5,7.5
HTJ-295,7.8,373,0,0,HTJ,295,12/30/19,1/6/21,F,12.5,7.5
HTJ-296,7.8,373,0,0,HTJ,296,12/30/19,1/6/21,F,12.5,7.5
HTJ-297,7.8,373,0,0,HTJ,297,12/30/19,1/6/21,F,12.5,7.5
HTJ-139,8.5,4,0,N/A,HTJ,139,10/18/18,10/22/18,N/A,20,8.5
HTJ-140,8.5,4,0,N/A,HTJ,140,10/18/18,10/22/18,N/A,20,8.5
HTJ-87,8.5,81,0,36.2,HTJ,87,9/6/18,11/26/18,M,20,8.5
HTJ-90,8.5,81,0,40,HTJ,90,9/6/18,11/26/18,M,20,8.5
HTJ-110,8.5,71,0,5.98,HTJ,110,10/2/18,12/12/18,F,20,8.5
HTJ-113,8.5,71,0,16.8,HTJ,113,10/2/18,12/12/18,F,20,8.5
HTJ-89,8.5,312,0,26.5,HTJ,89,9/7/18,7/16/19,F,N/A,8.5
HTJ-217,8.5,290,0,69.2,HTJ,217,12/28/18,10/14/19,M,15,8.5
HTJ-214,8.5,383,0,0,HTJ,214,12/28/18,1/15/20,M,15,8.5
HTJ-69,9.5,1,0,N/A,HTJ,69,7/23/18,7/24/18,N/A,20,9.5
HTJ-71,9.5,14,0,N/A,HTJ,71,7/23/18,8/6/18,M,20,9.5
HTJ-72,9.5,14,0,N/A,HTJ,72,7/23/18,8/6/18,F,20,9.5
HTJ-74,9.5,59,0,N/A,HTJ,74,7/23/18,9/20/18,F,20,9.5
HTJ-70,9.5,337,60.1,46.4,HTJ,70,7/23/18,6/25/19,F,20,9.5
HTJ-73,9.5,337,82.6,56.6,HTJ,73,7/23/18,6/25/19,F,20,9.5
HTJ-352,9.5,22,0,0,HTJ,352,10/12/20,11/3/20,M,15,9.5
HTJ-353,9.5,22,0,0,HTJ,353,10/12/20,11/3/20,M,15,9.5
HTJ-354,9.5,59,0,0,HTJ,354,10/12/20,12/10/20,F,15,9.5
HTJ-355,9.5,59,0,0,HTJ,355,10/12/20,12/10/20,F,15,9.5
HTJ-356,9.5,59,0,0,HTJ,356,10/12/20,12/10/20,F,15,9.5
HTJ-80,10.5,1,0,N/A,HTJ,80,7/30/18,7/31/18,N/A,20,10.5
HTJ-82,10.5,14,0,N/A,HTJ,82,7/30/18,8/13/18,M,20,10.5
HTJ-95,10.5,0,0,N/A,HTJ,95,9/25/18,9/25/18,N/A,20,10.5
HTJ-123,10.5,3,0,N/A,HTJ,123,10/9/18,10/12/18,N/A,20,10.5
HTJ-127,10.5,3,0,N/A,HTJ,127,10/9/18,10/12/18,N/A,20,10.5
HTJ-84,10.5,121,0,48.5,HTJ,84,7/30/18,11/28/18,M,20,10.5
HTJ-86,10.5,121,0,25.8,HTJ,86,7/30/18,11/28/18,M,20,10.5
HTJ-164,10.5,239,0,66,HTJ,164,11/19/18,7/16/19,F,N/A,10.5
HTJ-126,10.5,282,0,55.4,HTJ,126,10/9/18,7/18/19,F,N/A,10.5
HTJ-97,10.5,364,0,55.8,HTJ,97,9/25/18,9/24/19,M,N/A,10.5
HTJ-125,10.5,364,0,49,HTJ,125,10/9/18,10/8/19,M,20,10.5
HTJ-170,10.5,344,0,59,HTJ,170,11/19/18,10/29/19,M,20,10.5
HTJ-128,11.5,1,0,N/A,HTJ,128,10/11/18,10/12/18,N/A,20,11.5
HTJ-129,11.5,1,0,N/A,HTJ,129,10/11/18,10/12/18,N/A,20,11.5
HTJ-94,11.5,80,0,2.55,HTJ,94,9/7/18,11/26/18,M,20,11.5
HTJ-121,11.5,71,0,17.7,HTJ,121,10/2/18,12/12/18,M,20,11.5
HTJ-120,11.5,289,0,34.6,HTJ,120,10/2/18,7/18/19,M,N/A,11.5
HTJ-131,11.5,280,0,5.8,HTJ,131,10/11/18,7/18/19,F,N/A,11.5
HTJ-116,11.5,357,0,40.1,HTJ,116,10/2/18,9/24/19,M,N/A,11.5
HTJ-117,11.5,371,0,25.1,HTJ,117,10/2/18,10/8/19,M,20,11.5
HTJ-122,11.5,377,0,31.1,HTJ,122,10/2/18,10/14/19,M,20,11.5
HTJ-222,11.5,347,16.4,0,HTJ,222,12/28/18,12/10/19,M,20,11.5
HTJ-144,12.5,1,0,N/A,HTJ,144,11/6/18,11/7/18,N/A,20,12.5
HTJ-148,12.5,10,0,N/A,HTJ,148,11/5/18,11/15/18,M,20,12.5
HTJ-153,12.5,262,0,0.6,HTJ,153,11/5/18,7/25/19,M,20,12.5
HTJ-151,12.5,352,0,4.1,HTJ,151,11/5/18,10/23/19,M,20,12.5
HTJ-156,12.5,358,0,0,HTJ,156,11/5/18,10/29/19,M,20,12.5
HTJ-158,12.5,368,0,0,HTJ,158,11/5/18,11/8/19,F,20,12.5
HDG-81,11.5,14,0,0,HDG,81,10/6/20,10/20/20,M,N/A,11.5
HDG-87,11.5,14,0,0,HDG,87,10/6/20,10/20/20,F,N/A,11.5
HDG-88,11.5,14,0,0,HDG,88,10/6/20,10/20/20,F,N/A,11.5
