ID,B1a,B1b,B2,CD5 T,MC,Mac
HTJ-107,N/A,N/A,N/A,N/A,N/A,N/A
HTJ-76,1.22,0.68,0.98,1.04,16,2.44
HTJ-78,0.12,0.058,0.043,0.11,9.5,1.63
HTJ-141,N/A,N/A,N/A,N/A,N/A,N/A
HTJ-161,N/A,N/A,N/A,N/A,N/A,N/A
HTJ-162,50.9,55.6,68.1,75.3,80.2,68.1
HTJ-173,N/A,N/A,N/A,N/A,N/A,N/A
HTJ-79,9.18,2.45,2.19,1.34,33.5,3.29
HTJ-209,0.051,0.66,0.7,1.07,6.67,0.48
HTJ-212,0.78,1.44,1,1.47,10.2,3.07
HTJ-291,29.4,31.6,20,25,61.5,35.4
HTJ-292,10.5,16.7,12,23.5,49.4,18.3
HTJ-293,41.7,40,40,76.2,85.4,52.2
HTJ-302,15.9,15.6,18.3,16,30.8,23.7
HTJ-303,36.3,18.6,19.2,20.7,44.9,19.8
HTJ-304,20.8,16,19.1,18.8,40.9,21.9
HTJ-299,1.58,3,6.42,5.06,13.5,7.63
HTJ-298,15.7,14.7,11.7,29.7,46.8,19.5
HTJ-300,20.6,15.1,13.2,15.8,41.8,14.7
HTJ-301,13.1,21.4,23.1,29.7,63.4,35
HTJ-294,2.83,4.9,4.71,7.68,50,15.3
HTJ-295,7.26,14.5,15.1,14.5,75,25.2
HTJ-296,1.49,2.72,2.75,3.35,28.6,7.85
HTJ-297,5.84,8.82,10.3,21.5,50,27.1
HTJ-139,N/A,N/A,N/A,18.8,16.1,14.8
HTJ-140,N/A,N/A,N/A,N/A,N/A,N/A
HTJ-87,40.9,37.8,42.5,53.8,47.2,45
HTJ-90,43.1,40.4,46.1,43.1,51.1,49.5
HTJ-110,9.87,7.16,7.13,6.65,16.2,13.2
HTJ-113,20.6,12.5,16.1,14.6,28.8,5.73
HTJ-89,26.9,20.3,23.4,25.7,48.2,28.4
HTJ-217,58.5,53.9,32.3,64.2,72.8,79.1
HTJ-214,30,23.3,27.8,30,45,34
HTJ-69,N/A,N/A,N/A,N/A,N/A,N/A
HTJ-71,63.1,67.7,71,75,83.2,72.6
HTJ-72,78.5,77.8,78.5,72.5,85.3,77.5
HTJ-74,71.8,76.9,71.3,67.6,71.1,73.5
HTJ-70,38.7,41.1,48.1,45.5,66,55.2
HTJ-73,42,53.3,49,57.1,87.6,66.3
HTJ-352,38.7,47.1,46.9,36.6,25.1,45.7
HTJ-353,42.4,43.9,48.2,35.6,22.9,52.8
HTJ-354,15.6,22.9,28,29.9,17.5,15.8
HTJ-355,18,14.3,15.6,17.3,10,18.4
HTJ-356,27.8,33.1,33.9,37.7,18.8,37.6
HTJ-80,N/A,N/A,N/A,N/A,N/A,N/A
HTJ-82,12.2,28.3,36.7,9.11,6.39,18.7
HTJ-95,N/A,N/A,N/A,N/A,N/A,N/A
HTJ-123,N/A,N/A,N/A,N/A,N/A,N/A
HTJ-127,N/A,N/A,N/A,N/A,N/A,N/A
HTJ-84,27.5,36.6,43.3,37.8,4.01,41.2
HTJ-86,10.8,20.1,20.4,21.5,1.62,22
HTJ-164,74.6,69.2,53.9,77,45.7,74.5
HTJ-126,71.9,66,51,77.1,45.7,74.5
HTJ-97,30.4,19,32.1,50.8,8.51,64
HTJ-125,44.9,63.4,61.3,68,13.3,71.3
HTJ-170,48.6,60.6,63.6,64.4,11.2,71.8
HTJ-128,N/A,N/A,N/A,N/A,N/A,N/A
HTJ-129,N/A,N/A,N/A,N/A,N/A,N/A
HTJ-94,0.54,0.94,1.48,1.4,0.31,3.36
HTJ-121,6.09,9.12,13.8,12.1,0.65,11
HTJ-120,23.2,18.8,20.9,25.9,48.6,28.4
HTJ-131,3.36,4.82,6.45,7.29,0.001,8.78
HTJ-116,24.8,17.9,29.5,38.4,3.64,3.68
HTJ-117,4.72,12.3,30.3,31,1.57,35
HTJ-122,5.35,18.3,17.4,28.1,6.87,52.9
HTJ-222,3.12,4.43,5,7.73,0.0001,13.8
HTJ-144,N/A,N/A,N/A,N/A,N/A,N/A
HTJ-148,1.35,1.23,1.06,0.73,0.97,0.76
HTJ-153,0.15,0.36,0.26,0.25,0.46,0.62
HTJ-151,5.8,2.03,1.97,1.71,0,2.61
HTJ-156,0.077,0.97,1.98,1.9,0,2.5
HTJ-158,0.042,0.49,1,1.23,0.0001,3.27
HDG-81,1.59,0,0.73,0.043,1.15,0.66
HDG-87,0,0,0.2,0,0,0.013
HDG-88,0.1,0.1,0.6,0.052,0.23,0.7
