ID,B1a,B1b,B2,CD5 T,MC,Mac
F5T-37,N/A,N/A,N/A,N/A,N/A,N/A
F5T-46,0.13,0.78,0.67,0.17,0.001,0.17
F5T-52,N/A,N/A,N/A,N/A,N/A,N/A
F5T-53,N/A,N/A,N/A,N/A,N/A,N/A
F5T-58,N/A,N/A,N/A,N/A,0.001,N/A
F5T-50,0.59,1.21,0.75,0.68,0.0001,1.09
F5T-63,0.23,1.23,0.83,0.68,N/A,0.35
F5T-64,0.11,0.33,0.34,0.29,0.0001,0.67
F5T-54,5,7.3,9.19,11.3,0.0001,12.7
F5T-44,0.1,0.71,0.74,0.0001,0.066,0.22
F5T-55,N/A,N/A,N/A,N/A,0.039,N/A
F5T-56,N/A,N/A,N/A,N/A,N/A,N/A
F5T-57,N/A,N/A,N/A,N/A,N/A,N/A
F5T-41,3.44,4.75,6.8,7.37,0.0001,8.78
F5T-74,0.32,0.99,1.81,2.36,0,3.64
F5T-86,0.8,1.36,3.88,4.55,0,7.93
F5T-124,4.3,9.43,28.5,25.2,2.61,16.9
F5T-133,0.072,0.77,4.09,0.15,0.001,5.36
F5T-125,2.84,7.44,9.95,11.7,4,10.4
F5T-127,4.06,35.9,64,67,8.5,66.2
F5T-68,13.5,24.1,45.3,42.2,4.34,39.2
5TJ-31,33.9,54.2,73.1,63.7,4.76,70.3
5DG-7,0.34,0.16,0.45,0.001,1.1,4.32
5DG-8,0.1,0.25,1.2,0.001,0.14,3.89
