ID,ETP,DN1d,DN1e,DN2,DP(lin),CD4Sp
F5T-37,N/A,N/A,N/A,N/A,N/A,N/A
F5T-46,1.25,0.63,0.15,0.86,0.35,N/A
F5T-52,N/A,N/A,N/A,N/A,N/A,N/A
F5T-53,N/A,N/A,N/A,N/A,N/A,N/A
F5T-58,N/A,N/A,N/A,N/A,N/A,N/A
F5T-50,0.0001,1.61,0.41,2.56,N/A,N/A
F5T-63,2.13,0.72,0.42,0.62,N/A,N/A
F5T-64,0.0001,1.2,0.22,0.14,N/A,N/A
F5T-54,21.8,11.1,10.2,17.5,16.1,13.5
F5T-44,4.76,1.11,0.49,2.15,0.79,N/A
F5T-55,N/A,N/A,N/A,N/A,N/A,N/A
F5T-56,N/A,N/A,N/A,N/A,N/A,N/A
F5T-57,N/A,N/A,N/A,N/A,N/A,N/A
F5T-41,13.3,9.88,6.22,14.9,11.1,15.3
F5T-74,3.03,2.34,1.66,5.73,2.78,2.42
F5T-86,5.4545,5.61,5.83,6.85,6.45,7.57
F5T-124,55.4,32.9,17,52.5,48.5,43.3
F5T-133,10.4,8.21,2.96,6.87,0.79,0.3
F5T-125,17.6,14.2,8.24,20.2,20.1,18.6
F5T-127,90.5,68.1,54.9,88.4,85.2,78.8
F5T-68,86.3,48.3,24.4,83.9,76.9,74.7
5TJ-31,90.9,78.5,50.7,89.9,89.5,90.4
5DG-7,11.3,5.62,1.3,7.52,1.46,0.72
5DG-8,10.6,2.03,0.71,8.85,1.96,0.56
