ID,B1-Pro,B2-Pro,IgM_1,IgM_2,Myelo
HTJ-107,N/A,N/A,N/A,N/A,N/A
HTJ-76,N/A,N/A,N/A,N/A,N/A
HTJ-78,N/A,N/A,N/A,N/A,N/A
HTJ-141,21.6,16.1,N/A,25.4,13
HTJ-161,22.7,29.2,34.2,36.8,34.5
HTJ-162,54.5,50,52.6,61.9,60.4
HTJ-173,N/A,N/A,N/A,7.26,N/A
HTJ-79,N/A,N/A,N/A,N/A,N/A
HTJ-209,N/A,N/A,N/A,N/A,N/A
HTJ-212,N/A,N/A,N/A,N/A,N/A
HTJ-291,N/A,N/A,N/A,N/A,N/A
HTJ-292,N/A,N/A,N/A,N/A,N/A
HTJ-293,N/A,N/A,N/A,N/A,N/A
HTJ-302,N/A,N/A,N/A,N/A,N/A
HTJ-303,N/A,N/A,N/A,N/A,N/A
HTJ-304,N/A,N/A,N/A,N/A,N/A
HTJ-299,N/A,N/A,N/A,N/A,N/A
HTJ-298,N/A,N/A,N/A,N/A,N/A
HTJ-300,N/A,N/A,N/A,N/A,N/A
HTJ-301,N/A,N/A,N/A,N/A,N/A
HTJ-294,N/A,N/A,N/A,N/A,N/A
HTJ-295,N/A,N/A,N/A,N/A,N/A
HTJ-296,N/A,N/A,N/A,N/A,N/A
HTJ-297,N/A,N/A,N/A,N/A,N/A
HTJ-139,4.17,5.52,N/A,6.13,4.47
HTJ-140,33,28,N/A,33.9,24.6
HTJ-87,N/A,N/A,N/A,N/A,N/A
HTJ-90,N/A,N/A,N/A,N/A,N/A
HTJ-110,N/A,N/A,N/A,N/A,N/A
HTJ-113,N/A,N/A,N/A,N/A,N/A
HTJ-89,N/A,N/A,N/A,N/A,N/A
HTJ-217,N/A,N/A,N/A,N/A,N/A
HTJ-214,N/A,N/A,N/A,N/A,N/A
HTJ-69,N/A,N/A,N/A,N/A,N/A
HTJ-71,N/A,N/A,N/A,N/A,N/A
HTJ-72,N/A,N/A,N/A,N/A,N/A
HTJ-74,N/A,N/A,N/A,N/A,N/A
HTJ-70,N/A,N/A,N/A,N/A,N/A
HTJ-73,N/A,N/A,N/A,N/A,N/A
HTJ-352,N/A,N/A,N/A,N/A,N/A
HTJ-353,N/A,N/A,N/A,N/A,N/A
HTJ-354,N/A,N/A,N/A,N/A,N/A
HTJ-355,N/A,N/A,N/A,N/A,N/A
HTJ-356,N/A,N/A,N/A,N/A,N/A
HTJ-80,N/A,N/A,N/A,N/A,N/A
HTJ-82,N/A,N/A,N/A,N/A,N/A
HTJ-95,N/A,N/A,N/A,N/A,N/A
HTJ-123,52.6,66.7,N/A,36.8,67.6
HTJ-127,14.3,36.4,N/A,12.6,43.6
HTJ-84,N/A,N/A,N/A,N/A,N/A
HTJ-86,N/A,N/A,N/A,N/A,N/A
HTJ-164,N/A,N/A,N/A,N/A,N/A
HTJ-126,N/A,N/A,N/A,N/A,N/A
HTJ-97,N/A,N/A,N/A,N/A,N/A
HTJ-125,N/A,N/A,N/A,N/A,N/A
HTJ-170,N/A,N/A,N/A,N/A,N/A
HTJ-128,0,1.32,N/A,0.18,0.77
HTJ-129,0,2.7,N/A,2.1,6.63
HTJ-94,N/A,N/A,N/A,N/A,N/A
HTJ-121,N/A,N/A,N/A,N/A,N/A
HTJ-120,N/A,N/A,N/A,N/A,N/A
HTJ-131,N/A,N/A,N/A,N/A,N/A
HTJ-116,N/A,N/A,N/A,N/A,N/A
HTJ-117,N/A,N/A,N/A,N/A,N/A
HTJ-122,N/A,N/A,N/A,N/A,N/A
HTJ-222,N/A,N/A,N/A,N/A,N/A
HTJ-144,N/A,N/A,N/A,N/A,N/A
HTJ-148,N/A,N/A,N/A,N/A,N/A
HTJ-153,N/A,N/A,N/A,N/A,N/A
HTJ-151,N/A,N/A,N/A,N/A,N/A
HTJ-156,N/A,N/A,N/A,N/A,N/A
HTJ-158,N/A,N/A,N/A,N/A,N/A
HDG-81,N/A,N/A,N/A,N/A,N/A
HDG-87,N/A,N/A,N/A,N/A,N/A
HDG-88,N/A,N/A,N/A,N/A,N/A
