ID, B1a,B1b,MZ,FO,CD5 T,B,My,CD4,CD8
HTJ-107,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HTJ-76,1.03,1.05,0.98,1.49,1.71,1.39,1.61,1.6,2.14
HTJ-78,0.0001,0.0001,0.0001,0.06,0.08,0.48,0.82,0.64,0.21
HTJ-141,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HTJ-161,N/A,N/A,N/A,N/A,N/A,30.3,34.2,46.4,41.8
HTJ-162,N/A,N/A,N/A,N/A,N/A,52.9,59,64.6,60.7
HTJ-173,N/A,N/A,N/A,N/A,N/A,8.59,7.74,2.7,5
HTJ-79,0.2,0.46,0.09,0.33,0.25,1.66,3.68,0.96,0.23
HTJ-209,0.099,0.62,0.59,0.73,1.14,N/A,N/A,N/A,N/A
HTJ-212,0.63,0.49,0.92,1.54,1.58,1.37,2.62,1.85,1.52
HTJ-291,20.9,29.5,33.1,30.2,35.5,26,36.6,34.6,34
HTJ-292,5.03,10.5,7.45,7.12,21.9,9.17,14.3,23.1,26.8
HTJ-293,30.1,46.1,47.5,41.1,64.3,46.5,50,64.2,74.5
HTJ-302,6.76,15.3,12,17,14.9,19.6,19.6,14.2,15.5
HTJ-303,4.96,12.1,13.9,16.5,16.4,17.5,17.5,16.1,15.3
HTJ-304,9.82,14.3,13.7,17.6,17.6,19.3,19.3,17.7,17.5
HTJ-299,4.93,5.16,5.46,8.16,5.63,7.99,6.14,5.4,4.96
HTJ-298,2.51,4.22,11,12.6,16.7,13.1,16.6,13.3,16.1
HTJ-300,3.29,8.18,12,14.3,15.1,14.7,17.6,14.5,13.8
HTJ-301,7.85,17.3,22.7,26.2,28.8,27.7,33.7,28.1,27
HTJ-294,2.74,4.48,4.34,5.75,8.05,5.57,10.1,7.81,7.75
HTJ-295,7.21,12.6,15.6,17.5,16.1,16.5,12.2,14.7,14
HTJ-296,0.97,1.71,4.01,3.12,4.29,3.95,1.58,4.19,4.25
HTJ-297,7.17,12,13,14.9,21.2,15.8,26.7,19.8,19
HTJ-139,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HTJ-140,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HTJ-87,16.3,28.1,34.7,37.5,38.9,37.8,40.1,37.3,37.9
HTJ-90,22.4,38,38.3,39.6,39,40.7,43,37.1,38.8
HTJ-110,2.54,3.89,5.63,4.8,5.59,12.8,16.8,13.9,13.6
HTJ-113,6.02,13.4,11.7,13.8,14.3,15.1,17.3,14.8,13.9
