ID,ETP,DN1d,DN1e,DN2,DP(lin),CD4Sp
HTJ-107,N/A,N/A,N/A,N/A,N/A,N/A
HTJ-76,0.0001,1.59,2.15,2.43,0.28,N/A
HTJ-78,0,0,0.3,0,0.05,N/A
HTJ-141,9.89,21.2,28.8,8.61,33.4,N/A
HTJ-161,50.9,32,38.4,35.9,40.3,N/A
HTJ-162,58.2,56.6,58,52.4,60.6,N/A
HTJ-173,5.51,5.57,8.69,6.4,5.44,N/A
HTJ-79,1.9,3.12,1.74,1.07,0.44,0.72
HTJ-209,0,2.4,2.21,2.9,0.75,0.98
HTJ-212,1.35,2.4,2.21,2.9,0.75,0.98
HTJ-291,31.7,29.5,39.7,43,24.9,28.8
HTJ-292,7.69,12.3,20.4,20.8,10.6,13.6
HTJ-293,51.1,50.6,68.6,59.8,50.2,56.2
HTJ-302,10.8,14.8,16,12.7,12.4,14.4
HTJ-303,20.7,18.4,22.3,18.9,12.6,12.7
HTJ-304,15.8,23.7,20.9,22.7,18.6,18.8
HTJ-299,9.47,7.78,5.09,4.04,6.87,5.77
HTJ-298,7.14,12.6,20.3,11.6,6.45,10.7
HTJ-300,15,18.2,18.9,15,12.4,13.4
HTJ-301,23.3,30.4,32.2,23.8,27.3,30.6
HTJ-294,11.1,7.42,6.44,13.1,8.29,9.34
HTJ-295,16.3,13.8,21.2,14.8,11.5,15.2
HTJ-296,1.28,3.55,6.57,2.13,2.34,2.08
HTJ-297,30,13.5,27.1,28.3,19.5,22.2
HTJ-139,6.48,6.58,12.8,5.11,8.39,N/A
HTJ-140,25.5,39.6,52.1,19.5,44.2,N/A
HTJ-87,33.8,34.1,37.8,38.8,36.7,N/A
HTJ-90,40.1,39.5,43,42.8,26.5,N/A
HTJ-110,3.76,4.88,7.48,4.02,4.73,N/A
HTJ-113,22.6,15.1,14.3,17.4,11.8,N/A
HTJ-89,22.7,20.6,29.6,21.9,24.2,22.6
HTJ-217,77.8,59.2,62.7,62,60.6,63.1
HTJ-214,31,30.2,27.9,34.2,24.3,23.9
HTJ-69,57.8,58.4,43,76.3,47.2,26.4
HTJ-71,67.5,56.2,66.8,59,34.9,N/A
HTJ-72,68.2,78.1,66.9,58.7,32.4,N/A
HTJ-74,70.3,71.5,68.8,67.9,51.8,N/A
HTJ-70,40.3,46.7,45.7,43.9,51.1,51.4
HTJ-73,66.2,56,57,53.6,43.3,42.1
HTJ-352,49.4,39.6,41.1,48.8,46,43.5
HTJ-353,50.8,49.2,38.7,53.2,49.2,45.4
HTJ-354,31.5,37,36.9,35.1,31.2,35.7
HTJ-355,14.4,15.2,19.3,17.8,18.2,19.1
HTJ-356,50,37.8,41.4,53.1,39.1,47.2
HTJ-80,32.5,11.9,5.58,30.2,1.92,1.84
HTJ-82,32.4,39.8,38.2,20.5,29.8,26.9
HTJ-95,0.0001,0.0001,0.0001,0.0001,0.08,N/A
HTJ-123,72.8,59,58.1,69.2,58.6,N/A
HTJ-127,47.2,19.3,7.93,44.8,13.2,N/A
HTJ-84,34.5,33.6,38.6,54.3,45.1,N/A
HTJ-86,21.1,26.4,21.4,31.8,25.8,N/A
HTJ-164,79.3,53.6,74.5,77.8,56.6,73.3
HTJ-126,63.8,65.3,64.5,65.6,65.7,67.5
HTJ-97,N/A,N/A,N/A,N/A,N/A,N/A
HTJ-125,79.2,71.9,70.8,80.9,69.8,69.6
HTJ-170,69.4,66,63.3,70.5,73.7,73.1
HTJ-128,0.44,0.0001,0.0001,0.66,0.11,N/A
HTJ-129,10.2,0.81,2.54,9.02,1.05,N/A
HTJ-94,3.85,1.27,1.7,2.72,3.63,N/A
HTJ-121,23.3,12.3,11.8,14,11.6,N/A
HTJ-120,40.2,32,29.4,43,37.8,40.6
HTJ-131,9.44,5.72,3.45,6.31,5.71,5.6
HTJ-116,N/A,N/A,N/A,N/A,N/A,N/A
HTJ-117,26.8,33,24.8,43.5,33.8,30.7
HTJ-122,35.5,27.4,27.4,35.2,34.4,31.7
HTJ-222,6,9.39,7.72,9.49,7.22,9.79
HTJ-144,0.0001,1.75,0.47,0.33,1.4,N/A
HTJ-148,1.26,1.24,0.96,1.73,1.62,N/A
HTJ-153,N/A,N/A,N/A,N/A,N/A,N/A
HTJ-151,2.86,2.63,2.59,4.73,1.06,1.11
HTJ-156,6.1,4.39,3.24,5.68,7.22,5.43
HTJ-158,4.17,1.05,2.05,0.81,0.39,0.48
HDG-81,0,0.64,0.71,0,0.62,0.87
HDG-87,0,0,0.34,0.22,6.05E-03,5.14E-03
HDG-88,0.86,0.84,0.36,0.93,1.90E-01,6.00E-01
