ID, B1a,B1b,MZ,FO,CD5 T,B,My,CD4,CD8
F5T-37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
F5T-46,0.22,0.56,0.34,0.53,0.15,0.67,1.1,0.09,0.18
F5T-52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
F5T-53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
F5T-58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
F5T-50,0,0.035,0.044,0.12,0.84,0.71,2.85,0.94,1.48
F5T-63,0,0.072,0.035,0.052,0.64,0.92,1.55,0.54,0.78
F5T-64,0,0.079,0.062,0.054,0.23,0.57,0.59,0.25,0.62
F5T-54,10.4,10.9,6.71,10.6,11.2,10.7,12.8,12.6,12.9
F5T-44,0.28,1.64,0.65,1.55,0.15,1.7,3.24,0.44,0.64
F5T-55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
F5T-56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
F5T-57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
F5T-41,8.36,7.28,4.99,7.41,7.77,7.18,8.43,8.66,8.28
F5T-74,0.77,2.15,1.28,2.46,2.31,2.86,4.66,2.51,2.16
F5T-86,0.95,3.09,2.63,4.67,4.62,5.13,7.29,5.09,4.37
F5T-124,18.7,34.4,20.7,39.8,32.2,34.1,47.8,32.6,28.7
F5T-133,3.02,6.76,1.72,4.98,0.4,5.18,21.5,0.53,1.56
F5T-125,5.15,15.7,10.7,15.2,14,14.9,29.8,14.9,14.7
F5T-127,22.7,65.5,63.1,78.4,74.3,78.9,90,73.7,73.6
F5T-68,46.8,67.6,40.5,57.6,50.7,57.8,65.9,52.5,55.5
5TJ-31,72.1,84.3,61.6,77.3,74.5,72.9,94.7,77,70.6
5DG-7,3.95,9.47,1.88,4.43,0.36,5.53,17.7,0.35,0.76
5DG-8,2.72,8.36,2.34,4.46,0.28,6.11,23.1,0.46,1.34
